x,y
99.73119875680754,37.9736599313361
67.04279730405675,1.271856335771604
9.216528820449776,3.1353745210449535
35.715395295056155,62.69064606382157
70.80911752187204,90.99954539730913
97.60703230412227,61.356457913470074
66.12479467665817,34.24845306292408
64.08382080432294,48.82082768482856
72.51756253270672,37.52761123490524
87.35088094112486,16.491276460801096
39.64851099004928,16.44895036415226
99.22110334863918,28.583200619558603
24.75362680598646,57.015246248857125
25.721082438991473,89.3824971273663
8.888761141782119,4.898415737997974
51.224742682055805,37.84722937310844
97.61005539142859,76.20742104474924
5.202679504540198,83.75977377595531
13.58117346395239,19.522335573684522
15.97559157894578,95.86379969174129
