x,y
65.24597498695867,0.8229454048934159
21.813069244435567,82.24815874546134
31.366674994754472,36.98727542767655
22.579062208701693,12.257209995418961
65.00717765863419,32.500062479836345
24.432561613345072,48.865195058515575
41.4467171783502,87.85546367807187
24.257059800174375,94.40242099248584
21.280406272559425,12.920627130467965
35.22359888055957,77.67520764165798
98.05352620781277,89.48382210003678
52.91810766876047,38.99039153894805
31.80823239552365,16.24924710054314
44.7198226558312,93.186035755927
50.66683667439459,34.84307365144295
76.44812458809245,31.992841305118414
26.49022126052024,27.82500436736126
10.025843215963015,29.215920946978358
94.03955371343851,9.935100278977703
58.58270440276678,72.84597171090985
