x,y
18.594788888088175,81.15252396253847
10.716743137667816,10.77453044837926
87.31987247320639,62.618723099948184
40.28441401716588,64.94785496800182
54.35842776394559,19.908335828888536
70.95309658092422,70.17894394784923
74.01872400080246,86.46903590616465
53.53216351565838,95.1263223508129
63.59894559316756,3.1928566153715643
2.586378922726351,68.34080587912442
69.68372788924586,79.11216082123511
8.841011365182428,97.49758962564256
76.80624384558541,85.44134056953314
32.97991500255543,80.07838566748909
69.24586070254135,29.434172483144604
11.15720651261356,80.16162138872406
95.99828001940256,79.47520971498426
19.076213933163967,92.24173293788952
11.878271109245075,30.26866653445626
39.6103079939293,32.88696051879679
62.42696435649604,50.19794943009962
49.44309509915802,50.335052471001774
8.387678478170557,67.57733575541546
92.87449009372686,44.233090130745765
42.66142931290658,65.98524424512809
